region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,3,0,10,32,242,0.591053
noncoding,3,0,10,32,136,-0.310240
all,3,0,10,64,378,0.148312
coding,3,10,20,32,2192,0.906314
noncoding,3,10,20,32,1532,0.359487
all,3,10,20,64,3724,0.818391
coding,3,20,30,32,23647,0.903401
noncoding,3,20,30,32,28219,0.735334
all,3,20,30,64,51866,0.879828
coding,3,30,40,32,252570,0.940573
noncoding,3,30,40,32,2579972,0.620280
all,3,30,40,64,2832542,0.861251
coding,3,40,50,32,5048235,0.788416
noncoding,3,40,50,32,812405129,0.808582
all,3,40,50,64,817453364,0.796830
coding,3,50,60,32,12278565,0.962484
noncoding,3,50,60,32,1744235406,0.984825
all,3,50,60,64,1756513971,0.975873
coding,3,60,70,32,5120141,0.979281
noncoding,3,60,70,32,62716310,0.907598
all,3,60,70,64,67836451,0.901827
coding,3,70,80,32,3708918,0.959634
noncoding,3,70,80,32,8328130,0.740559
all,3,70,80,64,12037048,0.770312
coding,3,80,90,32,4236224,0.361096
noncoding,3,80,90,32,2306791,-0.006578
all,3,80,90,64,6543015,0.121926
coding,3,90,100,32,3555457,-0.418213
noncoding,3,90,100,32,542295,-0.407101
all,3,90,100,64,4097752,-0.410319
