region,k,bin_lo,bin_hi,n_pairs,pearson_r
coding,8,0,10,32896,0.928904
noncoding,8,0,10,32896,0.877990
coding,8,10,20,32896,0.889122
noncoding,8,10,20,32896,0.906898
coding,8,20,30,32896,0.912210
noncoding,8,20,30,32896,0.927611
coding,8,30,40,32896,0.909078
noncoding,8,30,40,32896,0.936130
coding,8,40,50,32896,0.916898
noncoding,8,40,50,32896,0.938024
coding,8,50,60,32896,0.924444
noncoding,8,50,60,32896,0.936901
coding,8,60,70,32896,0.913067
noncoding,8,60,70,32896,0.933046
coding,8,70,80,32896,0.942434
noncoding,8,70,80,32896,0.931262
coding,8,80,90,32896,0.964411
noncoding,8,80,90,32896,0.929663
coding,8,90,100,32896,0.979752
noncoding,8,90,100,32896,0.968641
