region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,3,0.000000,9.090909,32,23,0.330188
noncoding,3,0.000000,9.090909,32,6,0.292770
all,3,0.000000,9.090909,64,29,0.273818
coding,3,9.090909,18.181818,32,338,0.918685
noncoding,3,9.090909,18.181818,32,157,0.267534
all,3,9.090909,18.181818,64,495,0.782560
coding,3,18.181818,27.272727,32,6148,0.984619
noncoding,3,18.181818,27.272727,32,5388,0.859256
all,3,18.181818,27.272727,64,11536,0.973146
coding,3,27.272727,36.363636,32,85434,0.988006
noncoding,3,27.272727,36.363636,32,394709,0.862776
all,3,27.272727,36.363636,64,480143,0.972313
coding,3,36.363636,45.454545,32,1078877,0.964060
noncoding,3,36.363636,45.454545,32,46926517,0.825961
all,3,36.363636,45.454545,64,48005394,0.928106
coding,3,45.454545,54.545455,32,11449210,0.902387
noncoding,3,45.454545,54.545455,32,1544876301,0.994223
all,3,45.454545,54.545455,64,1556325511,0.954587
coding,3,54.545455,63.636364,32,6781190,0.997756
noncoding,3,54.545455,63.636364,32,265087722,0.943335
all,3,54.545455,63.636364,64,271868912,0.955714
coding,3,63.636364,72.727273,32,4209770,0.989061
noncoding,3,63.636364,72.727273,32,35172822,0.925711
all,3,63.636364,72.727273,64,39382592,0.927265
coding,3,72.727273,81.818182,32,3406302,0.934364
noncoding,3,72.727273,81.818182,32,7545863,0.901041
all,3,72.727273,81.818182,64,10952165,0.888204
coding,3,81.818182,90.909091,32,3568047,0.516203
noncoding,3,81.818182,90.909091,32,2191284,-0.015488
all,3,81.818182,90.909091,64,5759331,0.184075
coding,3,90.909091,100.000000,32,4259960,0.064424
noncoding,3,90.909091,100.000000,32,608735,-0.034232
all,3,90.909091,100.000000,64,4868695,-0.004596
