region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,7,0.000000,9.090909,8192,23,0.087840
noncoding,7,0.000000,9.090909,8192,6,-0.000345
all,7,0.000000,9.090909,16384,29,0.017858
coding,7,9.090909,18.181818,8192,338,0.094002
noncoding,7,9.090909,18.181818,8192,157,0.025255
all,7,9.090909,18.181818,16384,495,0.048171
coding,7,18.181818,27.272727,8192,6148,0.700033
noncoding,7,18.181818,27.272727,8192,5388,0.244150
all,7,18.181818,27.272727,16384,11536,0.567434
coding,7,27.272727,36.363636,8192,85434,0.939696
noncoding,7,27.272727,36.363636,8192,394709,0.896188
all,7,27.272727,36.363636,16384,480143,0.932048
coding,7,36.363636,45.454545,8192,1078877,0.963283
noncoding,7,36.363636,45.454545,8192,46926511,0.936647
all,7,36.363636,45.454545,16384,48005388,0.953738
coding,7,45.454545,54.545455,8192,11449207,0.963133
noncoding,7,45.454545,54.545455,8192,1544875820,0.997986
all,7,45.454545,54.545455,16384,1556325027,0.983977
coding,7,54.545455,63.636364,8192,6781187,0.992364
noncoding,7,54.545455,63.636364,8192,265087599,0.960430
all,7,54.545455,63.636364,16384,271868786,0.972481
coding,7,63.636364,72.727273,8192,4209767,0.983434
noncoding,7,63.636364,72.727273,8192,35172810,0.910889
all,7,63.636364,72.727273,16384,39382577,0.935109
coding,7,72.727273,81.818182,8192,3406302,0.960886
noncoding,7,72.727273,81.818182,8192,7545860,0.892265
all,7,72.727273,81.818182,16384,10952162,0.916757
coding,7,81.818182,90.909091,8192,3568047,0.766270
noncoding,7,81.818182,90.909091,8192,2191284,0.455171
all,7,81.818182,90.909091,16384,5759331,0.570803
coding,7,90.909091,100.000000,8192,4259960,0.422696
noncoding,7,90.909091,100.000000,8192,608735,0.489370
all,7,90.909091,100.000000,16384,4868695,0.479775
