region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,7,0.000000,9.090909,8192,23,-0.001394
noncoding,7,0.000000,9.090909,8192,6,-0.000345
all,7,0.000000,9.090909,16384,29,-0.000592
coding,7,9.090909,18.181818,8192,338,-0.002221
noncoding,7,9.090909,18.181818,8192,157,-0.009083
all,7,9.090909,18.181818,16384,495,-0.006673
coding,7,18.181818,27.272727,8192,6132,0.104109
noncoding,7,18.181818,27.272727,8192,5404,0.162206
all,7,18.181818,27.272727,16384,11536,0.126666
coding,7,27.272727,36.363636,8192,85053,0.263832
noncoding,7,27.272727,36.363636,8192,395090,0.759322
all,7,27.272727,36.363636,16384,480143,0.380918
coding,7,36.363636,45.454545,8192,1073272,0.558998
noncoding,7,36.363636,45.454545,8192,46932111,0.865118
all,7,36.363636,45.454545,16384,48005383,0.684535
coding,7,45.454545,54.545455,8192,11428335,0.960172
noncoding,7,45.454545,54.545455,8192,1544896607,0.995566
all,7,45.454545,54.545455,16384,1556324942,0.980301
coding,7,54.545455,63.636364,8192,6774011,0.951921
noncoding,7,54.545455,63.636364,8192,265094775,0.906989
all,7,54.545455,63.636364,16384,271868786,0.921567
coding,7,63.636364,72.727273,8192,4200478,0.957668
noncoding,7,63.636364,72.727273,8192,35182104,0.813335
all,7,63.636364,72.727273,16384,39382582,0.853140
coding,7,72.727273,81.818182,8192,3402271,0.959845
noncoding,7,72.727273,81.818182,8192,7549892,0.869688
all,7,72.727273,81.818182,16384,10952163,0.892983
coding,7,81.818182,90.909091,8192,3580812,0.778851
noncoding,7,81.818182,90.909091,8192,2178518,0.581512
all,7,81.818182,90.909091,16384,5759330,0.653542
coding,7,90.909091,100.000000,8192,4294514,0.590692
noncoding,7,90.909091,100.000000,8192,574181,0.090972
all,7,90.909091,100.000000,16384,4868695,0.172460
