region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,3,0.000000,9.090909,32,0,nan
noncoding,3,0.000000,9.090909,32,0,nan
all,3,0.000000,9.090909,64,0,nan
coding,3,9.090909,18.181818,32,0,nan
noncoding,3,9.090909,18.181818,32,4,0.466667
all,3,9.090909,18.181818,64,4,0.483871
coding,3,18.181818,27.272727,32,30,0.007916
noncoding,3,18.181818,27.272727,32,73,0.387563
all,3,18.181818,27.272727,64,103,0.140066
coding,3,27.272727,36.363636,32,1350,0.495511
noncoding,3,27.272727,36.363636,32,2931,0.630942
all,3,27.272727,36.363636,64,4281,0.538366
coding,3,36.363636,45.454545,32,177539,0.880593
noncoding,3,36.363636,45.454545,32,7657524,0.807146
all,3,36.363636,45.454545,64,7835063,0.838059
coding,3,45.454545,54.545455,32,7222242,0.908500
noncoding,3,45.454545,54.545455,32,1676453834,0.997116
all,3,45.454545,54.545455,64,1683676076,0.959694
coding,3,54.545455,63.636364,32,8563843,0.971147
noncoding,3,54.545455,63.636364,32,192493080,0.959904
all,3,54.545455,63.636364,64,201056923,0.948138
coding,3,63.636364,72.727273,32,8212584,0.976771
noncoding,3,63.636364,72.727273,32,18635993,0.948660
all,3,63.636364,72.727273,64,26848577,0.937804
coding,3,72.727273,81.818182,32,7667618,0.981628
noncoding,3,72.727273,81.818182,32,4604283,0.858637
all,3,72.727273,81.818182,64,12271901,0.873328
coding,3,81.818182,90.909091,32,2651364,0.126445
noncoding,3,81.818182,90.909091,32,1018407,0.769238
all,3,81.818182,90.909091,64,3669771,0.443248
coding,3,90.909091,100.000000,32,348237,0.559340
noncoding,3,90.909091,100.000000,32,244806,0.448500
all,3,90.909091,100.000000,64,593043,0.510136
