region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,7,0.000000,9.090909,8192,0,nan
noncoding,7,0.000000,9.090909,8192,0,nan
all,7,0.000000,9.090909,16384,0,nan
coding,7,9.090909,18.181818,8192,0,nan
noncoding,7,9.090909,18.181818,8192,0,nan
all,7,9.090909,18.181818,16384,0,nan
coding,7,18.181818,27.272727,8192,0,nan
noncoding,7,18.181818,27.272727,8192,34,-0.002065
all,7,18.181818,27.272727,16384,34,-0.001031
coding,7,27.272727,36.363636,8192,80,0.045494
noncoding,7,27.272727,36.363636,8192,332,0.015698
all,7,27.272727,36.363636,16384,412,0.039593
coding,7,36.363636,45.454545,8192,45150,0.406786
noncoding,7,36.363636,45.454545,8192,1026667,0.810057
all,7,36.363636,45.454545,16384,1071817,0.580494
coding,7,45.454545,54.545455,8192,6347209,0.971402
noncoding,7,45.454545,54.545455,8192,1740373709,0.999490
all,7,45.454545,54.545455,16384,1746720918,0.988277
coding,7,54.545455,63.636364,8192,9138943,0.990372
noncoding,7,54.545455,63.636364,8192,135914424,0.965344
all,7,54.545455,63.636364,16384,145053367,0.969226
coding,7,63.636364,72.727273,8192,9131361,0.990411
noncoding,7,63.636364,72.727273,8192,15930000,0.975997
all,7,63.636364,72.727273,16384,25061361,0.979257
coding,7,72.727273,81.818182,8192,7948411,0.980876
noncoding,7,72.727273,81.818182,8192,3799417,0.946788
all,7,72.727273,81.818182,16384,11747828,0.955172
coding,7,81.818182,90.909091,8192,2167577,0.693210
noncoding,7,81.818182,90.909091,8192,678860,0.879164
all,7,81.818182,90.909091,16384,2846437,0.816134
coding,7,90.909091,100.000000,8192,65212,0.329535
noncoding,7,90.909091,100.000000,8192,93725,0.762219
all,7,90.909091,100.000000,16384,158937,0.482488
