region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,3,0.000000,9.090909,32,16,0.000000
noncoding,3,0.000000,9.090909,32,32,-0.112910
all,3,0.000000,9.090909,64,48,-0.029925
coding,3,9.090909,18.181818,32,303,0.867174
noncoding,3,9.090909,18.181818,32,1858,0.788401
all,3,9.090909,18.181818,64,2161,0.859316
coding,3,18.181818,27.272727,32,4041,0.986242
noncoding,3,18.181818,27.272727,32,64474,0.933885
all,3,18.181818,27.272727,64,68515,0.982808
coding,3,27.272727,36.363636,32,40344,0.988305
noncoding,3,27.272727,36.363636,32,1558088,0.948995
all,3,27.272727,36.363636,64,1598432,0.983584
coding,3,36.363636,45.454545,32,386193,0.970623
noncoding,3,36.363636,45.454545,32,55127707,0.869017
all,3,36.363636,45.454545,64,55513900,0.937941
coding,3,45.454545,54.545455,32,2157527,0.965789
noncoding,3,45.454545,54.545455,32,253128203,0.999916
all,3,45.454545,54.545455,64,255285730,0.983293
coding,3,54.545455,63.636364,32,1403812,0.996106
noncoding,3,54.545455,63.636364,32,128867133,0.997596
all,3,54.545455,63.636364,64,130270945,0.996822
coding,3,63.636364,72.727273,32,943955,0.939420
noncoding,3,63.636364,72.727273,32,36465874,0.972731
all,3,63.636364,72.727273,64,37409829,0.957905
coding,3,72.727273,81.818182,32,717257,0.515638
noncoding,3,72.727273,81.818182,32,5757143,0.917675
all,3,72.727273,81.818182,64,6474400,0.747109
coding,3,81.818182,90.909091,32,606518,0.483538
noncoding,3,81.818182,90.909091,32,1730672,0.764171
all,3,81.818182,90.909091,64,2337190,0.608414
coding,3,90.909091,100.000000,32,1787573,0.847478
noncoding,3,90.909091,100.000000,32,811522,0.787368
all,3,90.909091,100.000000,64,2599095,0.810831
