region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,5,0.000000,9.090909,512,44,-0.036969
noncoding,5,0.000000,9.090909,512,93,-0.004729
all,5,0.000000,9.090909,1024,137,-0.027552
coding,5,9.090909,18.181818,512,885,0.630039
noncoding,5,9.090909,18.181818,512,7206,0.663319
all,5,9.090909,18.181818,1024,8091,0.632409
coding,5,18.181818,27.272727,512,11848,0.942501
noncoding,5,18.181818,27.272727,512,261067,0.962095
all,5,18.181818,27.272727,1024,272915,0.945219
coding,5,27.272727,36.363636,512,120376,0.982753
noncoding,5,27.272727,36.363636,512,6439784,0.975399
all,5,27.272727,36.363636,1024,6560160,0.981132
coding,5,36.363636,45.454545,512,1185726,0.969938
noncoding,5,36.363636,45.454545,512,229586163,0.941010
all,5,36.363636,45.454545,1024,230771889,0.956660
coding,5,45.454545,54.545455,512,6910864,0.979252
noncoding,5,45.454545,54.545455,512,1075591575,0.999796
all,5,45.454545,54.545455,1024,1082502439,0.990892
coding,5,54.545455,63.636364,512,4544776,0.994501
noncoding,5,54.545455,63.636364,512,523084758,0.998734
all,5,54.545455,63.636364,1024,527629534,0.996839
coding,5,63.636364,72.727273,512,3101141,0.954049
noncoding,5,63.636364,72.727273,512,161240467,0.981515
all,5,63.636364,72.727273,1024,164341608,0.970243
coding,5,72.727273,81.818182,512,2377793,0.708152
noncoding,5,72.727273,81.818182,512,24783582,0.919921
all,5,72.727273,81.818182,1024,27161375,0.836464
coding,5,81.818182,90.909091,512,1977372,0.663326
noncoding,5,81.818182,90.909091,512,7402352,0.787296
all,5,81.818182,90.909091,1024,9379724,0.725556
coding,5,90.909091,100.000000,512,6290734,0.922146
noncoding,5,90.909091,100.000000,512,3201275,0.840414
all,5,90.909091,100.000000,1024,9492009,0.878493
