region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,3,0.000000,9.090909,32,44,-0.053540
noncoding,3,0.000000,9.090909,32,93,-0.041835
all,3,0.000000,9.090909,64,137,-0.065224
coding,3,9.090909,18.181818,32,884,-0.286427
noncoding,3,9.090909,18.181818,32,7207,0.577891
all,3,9.090909,18.181818,64,8091,-0.158826
coding,3,18.181818,27.272727,32,11840,-0.231585
noncoding,3,18.181818,27.272727,32,261079,0.645626
all,3,18.181818,27.272727,64,272919,-0.087210
coding,3,27.272727,36.363636,32,120290,-0.138268
noncoding,3,27.272727,36.363636,32,6439973,0.682495
all,3,27.272727,36.363636,64,6560263,0.060362
coding,3,36.363636,45.454545,32,1184353,0.205671
noncoding,3,36.363636,45.454545,32,229595313,0.726531
all,3,36.363636,45.454545,64,230779666,0.453619
coding,3,45.454545,54.545455,32,6897891,0.823318
noncoding,3,45.454545,54.545455,32,1075656081,0.979619
all,3,45.454545,54.545455,64,1082553972,0.908288
coding,3,54.545455,63.636364,32,4531998,0.801548
noncoding,3,54.545455,63.636364,32,523120979,0.956784
all,3,54.545455,63.636364,64,527652977,0.885945
coding,3,63.636364,72.727273,32,3094712,0.847787
noncoding,3,63.636364,72.727273,32,161250568,0.814430
all,3,63.636364,72.727273,64,164345280,0.822307
coding,3,72.727273,81.818182,32,2377248,0.622293
noncoding,3,72.727273,81.818182,32,24784898,0.831993
all,3,72.727273,81.818182,64,27162146,0.753912
coding,3,81.818182,90.909091,32,1993192,0.619062
noncoding,3,81.818182,90.909091,32,7386749,0.728663
all,3,81.818182,90.909091,64,9379941,0.661225
coding,3,90.909091,100.000000,32,6309441,0.508603
noncoding,3,90.909091,100.000000,32,3182667,0.633703
all,3,90.909091,100.000000,64,9492108,0.571403
