region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,5,0.000000,9.090909,512,0,nan
noncoding,5,0.000000,9.090909,512,0,nan
all,5,0.000000,9.090909,1024,0,nan
coding,5,9.090909,18.181818,512,0,nan
noncoding,5,9.090909,18.181818,512,0,nan
all,5,9.090909,18.181818,1024,0,nan
coding,5,18.181818,27.272727,512,1,nan
noncoding,5,18.181818,27.272727,512,23,-0.020943
all,5,18.181818,27.272727,1024,24,-0.004670
coding,5,27.272727,36.363636,512,323,0.011669
noncoding,5,27.272727,36.363636,512,15943,0.752206
all,5,27.272727,36.363636,1024,16266,0.074613
coding,5,36.363636,45.454545,512,86871,0.894181
noncoding,5,36.363636,45.454545,512,24285332,0.951941
all,5,36.363636,45.454545,1024,24372203,0.925264
coding,5,45.454545,54.545455,512,2973221,0.974224
noncoding,5,45.454545,54.545455,512,1446806305,0.998385
all,5,45.454545,54.545455,1024,1449779526,0.987077
coding,5,54.545455,63.636364,512,5977680,0.989692
noncoding,5,54.545455,63.636364,512,503723671,0.994973
all,5,54.545455,63.636364,1024,509701351,0.991920
coding,5,63.636364,72.727273,512,6657659,0.994321
noncoding,5,63.636364,72.727273,512,40661005,0.984521
all,5,63.636364,72.727273,1024,47318664,0.984633
coding,5,72.727273,81.818182,512,6749920,0.995799
noncoding,5,72.727273,81.818182,512,10255785,0.972933
all,5,72.727273,81.818182,1024,17005705,0.976930
coding,5,81.818182,90.909091,512,3561226,0.932944
noncoding,5,81.818182,90.909091,512,2772041,0.959130
all,5,81.818182,90.909091,1024,6333267,0.947064
coding,5,90.909091,100.000000,512,514248,0.789791
noncoding,5,90.909091,100.000000,512,636451,0.921964
all,5,90.909091,100.000000,1024,1150699,0.845383
