region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,3,0,10,32,177,0.935938
noncoding,3,0,10,32,100,0.209508
all,3,0,10,64,277,0.801655
coding,3,10,20,32,4258,0.993392
noncoding,3,10,20,32,22479,0.991528
all,3,10,20,64,26737,0.992671
coding,3,20,30,32,29502,0.994416
noncoding,3,20,30,32,458764,0.999275
all,3,20,30,64,488266,0.995804
coding,3,30,40,32,1345093,0.999488
noncoding,3,30,40,32,30107675,0.999990
all,3,30,40,64,31452768,0.999721
coding,3,40,50,32,11151025,0.999637
noncoding,3,40,50,32,1446198278,0.999995
all,3,40,50,64,1457349303,0.999832
coding,3,50,60,32,13507617,0.999956
noncoding,3,50,60,32,1013697344,0.999995
all,3,50,60,64,1027204961,0.999978
coding,3,60,70,32,5895958,0.999821
noncoding,3,60,70,32,24915261,0.999988
all,3,60,70,64,30811219,0.999947
coding,3,70,80,32,388864,0.996766
noncoding,3,70,80,32,2094552,0.999826
all,3,70,80,64,2483416,0.998838
coding,3,80,90,32,124753,0.996237
noncoding,3,80,90,32,229141,0.999126
all,3,80,90,64,353894,0.998117
coding,3,90,100,32,6100,0.962646
noncoding,3,90,100,32,4262,0.969916
all,3,90,100,64,10362,0.964948
