region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,7,0.000000,9.090909,8192,242,0.073156
noncoding,7,0.000000,9.090909,8192,136,0.077572
all,7,0.000000,9.090909,16384,378,0.074918
coding,7,9.090909,18.181818,8192,1697,0.278184
noncoding,7,9.090909,18.181818,8192,1152,0.306911
all,7,9.090909,18.181818,16384,2849,0.293134
coding,7,18.181818,27.272727,8192,14158,0.752308
noncoding,7,18.181818,27.272727,8192,13900,0.506733
all,7,18.181818,27.272727,16384,28058,0.681768
coding,7,27.272727,36.363636,8192,120896,0.915904
noncoding,7,27.272727,36.363636,8192,465972,0.818709
all,7,27.272727,36.363636,16384,586868,0.887705
coding,7,36.363636,45.454545,8192,1163580,0.938223
noncoding,7,36.363636,45.454545,8192,465972,0.837944
all,7,36.363636,45.454545,16384,1629552,0.894269
coding,7,45.454545,54.545455,8192,2701709,0.929595
noncoding,7,45.454545,54.545455,8192,465972,0.965077
all,7,45.454545,54.545455,16384,3167681,0.951384
coding,7,54.545455,63.636364,8192,2701709,0.980811
noncoding,7,54.545455,63.636364,8192,465972,0.892823
all,7,54.545455,63.636364,16384,3167681,0.919529
coding,7,63.636364,72.727273,8192,2701709,0.968363
noncoding,7,63.636364,72.727273,8192,465972,0.797123
all,7,63.636364,72.727273,16384,3167681,0.847594
coding,7,72.727273,81.818182,8192,2701709,0.927027
noncoding,7,72.727273,81.818182,8192,465972,0.860105
all,7,72.727273,81.818182,16384,3167681,0.883576
coding,7,81.818182,90.909091,8192,2701709,0.535669
noncoding,7,81.818182,90.909091,8192,465972,0.582685
all,7,81.818182,90.909091,16384,3167681,0.566240
coding,7,90.909091,100.000000,8192,2701709,-0.420933
noncoding,7,90.909091,100.000000,8192,465972,-0.113901
all,7,90.909091,100.000000,16384,3167681,-0.179287
